id,idm,pseudo,type,ids,sid,titre,description,prix,unite,negociable,date_enregistrement,lat,lng,ville ,disponibilité,rayon
474,68,agence16,a proposer,2,11,Donne cours d'histoire géographie,"Donne cours de français , langues, histoire soutient scolaire et prépare au bac

Je donne des cours de français et d'histoire de la primaire au lycée , ainsi que des cours de littérature  pour les élèves de lycée plus soutient scolaire.  

Diplômé du baccalauréat général section L mention assez bien au lycée Janson de Sailly ,je suis actuellement étudiante en première année de licence de lettres modernes à  la Sorbonne ; je prépare aussi les élèves au bac de français (note obtenu de ma part 19 à  l'oral et 14 à  l'écrit. ) si vous êtes intéressés me contacter rapidement je me déplace à domicile.",20.00,par heure,NULL,2016-10-03 15:14:41,48.8531,2.24876,PARIS(75016),O,6
475,68,agence16,a proposer,2,6,Donne cours de langue,"Donne cours de français , langues, histoire soutient scolaire et prépare au bac

Je donne des cours de français et d'histoire de la primaire au lycée , ainsi que des cours de littérature  pour les élèves de lycée plus soutient scolaire.  

Diplômé du baccalauréat général section L mention assez bien au lycée Janson de Sailly ,je suis actuellement étudiante en première année de licence de lettres modernes à  la Sorbonne ; je prépare aussi les élèves au bac de français (note obtenu de ma part 19 à  l'oral et 14 à  l'écrit. ) si vous êtes intéressés me contacter rapidement je me déplace à domicile.",20.00,par heure,NULL,2016-10-03 15:15:36,48.8531,2.24876,PARIS(75016),O,45
476,68,agence16,a proposer,2,15,Soutien scolaire et prépare au BAC,"Donne cours de français , langues, histoire soutien scolaire et prépare au bac

Je donne des cours de français et d'histoire de la primaire au lycée , ainsi que des cours de littérature  pour les élèves de lycée plus soutient scolaire.  

Diplômé du baccalauréat général section L mention assez bien au lycée Janson de Sailly ,je suis actuellement étudiante en première année de licence de lettres modernes à  la Sorbonne ; je prépare aussi les élèves au bac de français (note obtenu de ma part 19 à  l'oral et 14 à  l'écrit. ) si vous êtes intéressés me contacter rapidement je me déplace à domicile.",20.00,par heure,NULL,2016-10-03 15:17:07,48.8531,2.24876,PARIS(75016),O,20
921,69,agence16,a proposer,2,6,APPRENDRE L'ESPAGNOL FACILEMENT ,"APPRENDRE LES LANGUES FACILEMENT 

Écrivain public, issue d''une formation en langues étrangères appliquées et de l'ESC de Rennes, mon activité consiste notamment à faire du soutien scolaire.
De part mon cursus, je suis spécialisée en langues française, anglaise et espagnole.
Expérimentée, je saurai rendre le goût de l'apprentissage et le plaisir de connaître ces langues grâce à  des cours ludiques basés sur de la méthode grammaticale et l''enrichissement du vocabulaire. Des textes, des extraits audio ou des séries/films en VO permettent de diversifier le contenu. 
A partir de 20€/heure.",20.00,par heure,NULL,2016-10-08 20:19:43,46.65,-1.61667,SAINT-GEORGES-DE-POINTINDOUX(85150),O,43
919,69,agence17,a proposer,2,10,APPRENDRE LE FRANÇAIS FACILEMENT,"APPRENDRE LES LANGUES FACILEMENT 

Écrivain public, issue d''une formation en langues étrangères appliquées et de l'ESC de Rennes, mon activité consiste notamment à faire du soutien scolaire.
De part mon cursus, je suis spécialisée en langues française, anglaise et espagnole.
Expérimentée, je saurai rendre le goût de l'apprentissage et le plaisir de connaître ces langues grâce à  des cours ludiques basés sur de la méthode grammaticale et l''enrichissement du vocabulaire. Des textes, des extraits audio ou des séries/films en VO permettent de diversifier le contenu. 
A partir de 20€/heure.",20.00,par heure,NULL,2016-10-08 20:18:33,46.65,-1.61667,SAINT-GEORGES-DE-POINTINDOUX(85150),O,24
920,69,agence17,a proposer,2,6,APPRENDRE L'ANGLAIS FACILEMENT ,"APPRENDRE LES LANGUES FACILEMENT 

Écrivain public, issue d''une formation en langues étrangères appliquées et de l'ESC de Rennes, mon activité consiste notamment à faire du soutien scolaire.
De part mon cursus, je suis spécialisée en langues française, anglaise et espagnole.
Expérimentée, je saurai rendre le goût de l'apprentissage et le plaisir de connaître ces langues grâce à  des cours ludiques basés sur de la méthode grammaticale et l''enrichissement du vocabulaire. Des textes, des extraits audio ou des séries/films en VO permettent de diversifier le contenu. 
A partir de 20€/heure.",20.00,par heure,NULL,2016-10-08 20:19:10,46.65,-1.61667,SAINT-GEORGES-DE-POINTINDOUX(85150),O,4
1386,7,agence18,a proposer,8,4,Conseil et  Coaching en entreprises ,"Bonjour,

Je propose mes services aux entreprises 

* La création ou reprise d'entreprise
* Développement d'activité
*Conquête de nouveaux marchés
* L'audit des organisations
* Conseil pour la mise en œuvre du management
* Plan de progrès et conduite du changement
* Pilotage de projets
* Diagnostic de fonctionnement des équipes

Différent forfaits possibles selon la nature du projet et sa durée.

Je reste à votre disposition pour tout complément d'information.

Bien cordialement.
David",800.00,par jour,NULL,2017-02-08 15:44:37,48.8167,2.26667,ISSY-LES-MOULINEAUX(92130),O,6
1391,7,agence18,a proposer,1,18,Coaching personnel,"Le coaching s'apparente à un accompagnement d'une personne ou d'un groupe dans un domaine particulier ou dans plusieurs domaines en vue de faciliter l'atteinte d'objectifs précis en faisant émerger les compétences de chacun.
 
Le coaching permet de travailler sur certaines émotions et comportements qui peuvent handicaper aussi bien dans la vie personnelle que professionnelle. Le coaching permet de mieux se connaitre, il permet également de travailler sur des points plus précis par exemple de travailler sur le manque d'estime de soi, la susceptibilité , les complexes , la timidité, la gestion de la colère, la gestion de ses peurs, la dépendance affective, la démotivation, le stress, le burn-out etc.

je mets un point d'honneur à travailler avec Bienveillance et Confidentialité et respecte les règles d'Ethique et de Déontologie.

A bientôt.
David",100.00,par heure,NULL,2017-02-08 15:44:35,48.8167,2.26667,ISSY-LES-MOULINEAUX(92130),O,24
1390,7,agence18,a proposer,1,18,Conseil aux entreprises TPE-PME,"Bonjour,

Je propose mes services aux entreprises 

* La création ou reprise d'entreprise
* Développement d'activité
*Conquête de nouveaux marchés
* L'audit des organisations
* Conseil pour la mise en œuvre du management
* Plan de progrès et conduite du changement
* Pilotage de projets
* Diagnostic de fonctionnement des équipes

Différent forfaits possibles selon la nature du projet et sa durée.

Je reste à votre disposition pour tout complément d'information.

Bien cordialement.
David",200.00,par heure,NULL,2017-02-08 15:44:34,48.8167,2.26667,ISSY-LES-MOULINEAUX(92130),O,11
1392,7,agence18,a proposer,8,21,Audit et Conseil en organisation ,"La mission d'audit vous apporte la photographie de votre organisation à un instant ""T"", mettre des mots sur l’ambiance, le bien être, la motivation et la compétence de vos collaborateurs, apprécier votre communication interne, votre processus management, identifier précisément vos points forts et les axes d’améliorations, pointer les freins au développement et à la croissance de votre entreprise sont autant d’indicateurs pour poser un constat suivi de préconisations et de mise en œuvre.
 
La prise de décision stratégique exige de fortes capacités de synthèse et de hiérarchisation de l’information ainsi qu’une aptitude marquée à la prise de recul. La mission de conseil proposée permet de valider ou d'orienter la stratégie de votre entreprise.
 
Une prestation complémentaire est proposée aux entreprises afin de définir leur Cadre de Référence Fondamental, à identifier leurs Valeurs.
 
Chaque transformation de l'entreprise nécessite un accompagnement à la conduite du changement. L'une des missions de coaching permet l'accompagnement à la mise en oeuvre du plan d'action en déclinant la stratégie vers les équipes.
 
L’objet de cette mission de Coaching professionnel n’est ni de fournir une solution, ni de transmettre un savoir.
 
L’atteinte du résultat recherché par le client émerge de ses propres ressources. David ROHA est un spécialiste « des processus » et sait créer les conditions pour que son client développe sa puissance personnelle et se rapproche le plus possible de son objectif.
 
Cet accompagnement vise la performance opérationnelle d’un individu, d’un manager à potentiel, d’une équipe en offrant la possibilité de prendre du recul, d’analyser le contexte et de préparer ses actions. Le résultat attendu est donc directement opérationnel.

Cette offre de service s'adresse aux TPE / PME et aux professions libérales.

",200.00,par heure,NULL,2016-12-04 21:22:30,48.8167,2.26667,ISSY-LES-MOULINEAUX(92130),O,21
