"# Resulting classification from model file : model-20170307-012530.pkl"
"SOUTIEN SCOLAIRE ANGLAIS","scolaire soutien maths"
"SOUTIEN SCOLAIRE CHIMIE","scolaire soutien maths"
"Soutien scolaire Maths","scolaire soutien maths"
"SOUTIEN SCOLAIRE PHYSIQUE","scolaire soutien maths"
"Cours de français jusqu'au BAC","français cours étrangers"
"Soutien scolaire du primaire à la 5ème","scolaire soutien maths"
"Cours de russe - tous niveaux!","niveaux cours maths"
"Cours d'anglais par étudiante CAMBRIDGE","anglais cours particuliers"
"Cours de FLE","cours maths particuliers"
"Coaching d'orientation","cours maths particuliers"
"Donne cours droit-soutien scolaire","scolaire soutien maths"
"Enseignant d'Italien langue maternelle","cours maths particuliers"
"ESPAGNOL AVEC UNE ESP","espagnol cours particuliers"
"Cours d'histoire - géographie","histoire géographie cours"
"Cours de chimie -Collège","chimie cours collège"
"Cours de maths - primaire au Collège","lycée collège maths"
"Cours de physique -Collège","physique cours particuliers"
"Elève Ingénieur pour cours d'anglais","anglais cours particuliers"
"Elève Ingénieur pour cours de chimie","chimie cours collège"
"Elève Ingénieur pour cours de maths","cours maths particuliers"
"Elève Ingénieur pour cours de physique","physique cours particuliers"
"COURS D'ALLEMAND","cours maths particuliers"
"Cours d'hébreu","cours maths particuliers"
"Cours de Philosophie ","cours maths particuliers"
"Cours de chimie-Collège & Lycée","chimie cours collège"
"Cours de Mathématiques ","mathématiques cours particuliers"
"Cours de physique","physique cours particuliers"
"Cours de sciences industrielles","cours maths particuliers"
"Cours Espagnol. Professeur native","espagnol cours particuliers"
"COURS DE MATHS jusque classe prépa","cours maths particuliers"
"COURS DE PHYSIQUE jusque classe prépa","physique cours particuliers"
"Cours d' Italien et traduction ","cours maths particuliers"
"Élève ingénieur - cours de PHYSIQUE","physique cours particuliers"
"élève ingénieur donne cours de maths","cours maths particuliers"
"Cours de Math","cours maths particuliers"
"COURS DESSIN TOUS NIVEAUX","niveaux cours maths"
"Cours de chant","cours maths particuliers"
"Cours d'anglais - Collège & Lycée","lycée collège maths"
"Cours de français du collège au lycée","lycée collège maths"
"Cours d'espagnol en ligne","espagnol cours particuliers"
"Aide aux devoirs en anglais","aide devoirs soutien"
"Cours de Soutien Maths - primaire au BAC","cours maths particuliers"
"cours de CHIMIE","chimie cours collège"
"Cours de Mathématiques ","mathématiques cours particuliers"
"Cours de physique","physique cours particuliers"
"Cours de Français","français cours étrangers"
"Cours de lettres-modernes","cours maths particuliers"
"Cours de philosophie","cours maths particuliers"
"Cours de NTIC, bureautique, internet","cours maths particuliers"
"HTML et CSS pour débutant-intermédiaire","cours maths particuliers"
"PHP et MySQL pour débutant-intermédiaire","cours maths particuliers"
"Cours d'informatique","informatique formation initiation"
"cours de CHIMIE","chimie cours collège"
"Cours de Mathématiques","mathématiques cours particuliers"
"Cours de physique","physique cours particuliers"
"Cours de Mathématiques ","mathématiques cours particuliers"
"COURS PARTICULIERS DE PROGRAMMATION","cours maths particuliers"
"Cours d'italien","cours maths particuliers"
"Normalien, Agrégé pour cours de Maths","cours maths particuliers"
"Cours particuliers d'economie-gestion","cours maths particuliers"
"Cours particuliers d'histoire géographie","histoire géographie cours"
"Cours particuliers de sociologie","cours maths particuliers"
"Professeur de langues - Cours d'allemand","professeur expérimenté donne"
"Etudiante donne cours d'économie-gestion","cours maths particuliers"
"Etudiante donne cours de compta-finance","cours maths particuliers"
"Etudiante donne cours de Maths","cours maths particuliers"
"COURS DE  FLÛTE TRAVERSIÈRE","cours maths particuliers"
"COURS DE CLARINETTE","cours maths particuliers"
"COURS DE SAXOPHONE","cours maths particuliers"
"Cours des mathématiques tous niveaux","niveaux cours maths"
"Professeur donne cours d'électricité","professeur expérimenté donne"
"Professeur donne cours d'électronique","professeur expérimenté donne"
"Professeur donne cours de chimie","chimie cours collège"
"Professeur donne cours de physique","professeur expérimenté donne"
"Enseignante dynamique","cours maths particuliers"
"Prof pédagogue enseigne l'informatique","informatique formation initiation"
"Prof pédagogue propose soutien scolaire","scolaire soutien maths"
"Prof très pédagogue enseigne l'économie ","cours maths particuliers"
"Cours particuliers Maths","cours maths particuliers"
"Cours de chimie-Collège & Lycée","chimie cours collège"
"Cours de maths, Collège-Lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Cours de SVT-Collège & Lycée","lycée collège maths"
"Je donne des cours de Français","français cours étrangers"
"COURS PARTICULIERS D'ANGLAIS","anglais cours particuliers"
"Enseignante en maths","cours maths particuliers"
"Cours de salsa,bachata et chachacha ","cours maths particuliers"
"SOUTIEN SCO/COURS D'ANGLAIS","anglais cours particuliers"
"SOUTIEN SCO/COURS DE FLE ","cours maths particuliers"
"SOUTIEN SCO/COURS DE FRANÇAIS ","français cours étrangers"
"Cours d'espagnol-enseignante Certifiée","espagnol cours particuliers"
"Aides aux devoirs jusqu'au niveau prépa","cours maths particuliers"
"cours en Maths jusqu'au niveau 'prépa'","cours maths particuliers"
"formations en bureautique","cours maths particuliers"
"Soutien scolaire jusqu'au niveau prépa","scolaire soutien maths"
"Cours d'économie","cours maths particuliers"
"Cours de français","français cours étrangers"
"Cours de Mathématiques ","mathématiques cours particuliers"
"Cours d'espagnol latino !","espagnol cours particuliers"
"Cours d'histoire - géographie","histoire géographie cours"
"Cours de français","français cours étrangers"
"Cours d'anglais - Collège & Lycée","lycée collège maths"
"Cours de maths - collège au lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Cours de Français St Germain en Laye","français cours étrangers"
"Cours d'Anglais","anglais cours particuliers"
"COURS DE CHINOIS POUR TOUS","cours maths particuliers"
"Cours particuliers en Maths","cours maths particuliers"
"Cours de Chant/Piano Givry et environs","piano domicile cours"
"Aide aux devoirs par email - Maths","aide devoirs soutien"
"Aide aux devoirs par email -physique","aide devoirs soutien"
"Cours particuliers d'histoire géographie","histoire géographie cours"
"Cours particuliers de français","français cours étrangers"
"Cours particuliers de philosophie","cours maths particuliers"
"Cours de chinois - Tous niveaux","niveaux cours maths"
"cours de piano tous niveaux","piano domicile cours"
"Polytechnicien propose cours de chimie","chimie cours collège"
"Polytechnicien propose cours de maths","cours maths particuliers"
"Polytechnicien propose cours de physique","physique cours particuliers"
"Cours de Maths","cours maths particuliers"
"Math Fin/Compta/Statistiques","cours maths particuliers"
"Enseignant diplômé - Cours de maths","cours maths particuliers"
"Enseignant Diplôme Expérience + 10 ans","cours maths particuliers"
"PROFESSEUR DE CHINOIS MANDARIN","professeur expérimenté donne"
"Cours de chant à Versailles","cours maths particuliers"
"Cours d'anglais. ","anglais cours particuliers"
" formations de CAO/DAO","cours maths particuliers"
" formations de Graphisme","cours maths particuliers"
"Cours de dessin industriel","cours maths particuliers"
"COURS DE MECANIQUE","cours maths particuliers"
"Cours particuliers de mathématiques","mathématiques cours particuliers"
"Cours particuliers de physique","physique cours particuliers"
"Cours privés de chant","cours maths particuliers"
"Cours privés de piano","piano domicile cours"
"Cours privés de solfège","cours maths particuliers"
"Cours de piano","piano domicile cours"
"Cours de maths","cours maths particuliers"
"Cours de physique","physique cours particuliers"
"Jeune ingénieur - cours d' Informatique","informatique formation initiation"
"Jeune ingénieur - cours de Maths","cours maths particuliers"
"Jeune ingénieur - cours de Physique","physique cours particuliers"
"Cours de chimie - Collège & Lycée ","chimie cours collège"
"Cours de Maths -Collège & Lycée ","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Cours de SVT - Collège & Lycée ","lycée collège maths"
"Professeur titulaire - cours de fançais","professeur expérimenté donne"
"Cours de mathématiques-Collège & Lycée","lycée collège maths"
"English on the Move ","cours maths particuliers"
"PROFESSEUR CERTIFIÉ DONNE COURS DE MATHS","professeur expérimenté donne"
"COURS D'ANGLAIS","anglais cours particuliers"
"COURS D'ANGLAIS","anglais cours particuliers"
"Cours de chimie","chimie cours collège"
"Cours de maths","cours maths particuliers"
"Cours de physique","physique cours particuliers"
"Soutien scolaire ","scolaire soutien maths"
"Enseignante et formatrice d'anglais","anglais cours particuliers"
"Enseignante et formatrice d'italien","cours maths particuliers"
"Enseignante et formatrice FLE","cours maths particuliers"
"Jeune femme américaine - cours d'anglais","cours maths particuliers"
"PROFESSEUR DE CAMBRIDGE Cours d'Anglais","anglais cours particuliers"
"cours de mathématiques collège ; lycée ; BTS ","lycée collège maths"
"Soutien préparation BAC S","cours maths particuliers"
"Etudiante propose cours de Chinois et/ou coréen pour débutant","cours maths particuliers"
"Cours de langues-primaire à terminale","cours maths particuliers"
"cours de sciences  - Physique Chimie","chimie cours collège"
"Cours particuliers comptabilité-gestion","cours maths particuliers"
"Professeur de portugais bresilien","professeur expérimenté donne"
"Coaching CV + développement personnel","cours maths particuliers"
"Coaching gestion de budget ","cours maths particuliers"
"Coaching Mathématiques (pour femme)","mathématiques cours particuliers"
"Cours d'économie (+ coaching scolaire)","cours maths particuliers"
"Professeur des écoles Primaire / collège","professeur expérimenté donne"
"Professeur propose soutien scolaire","scolaire soutien maths"
"Professeur d'Anglais Education Nationale","professeur expérimenté donne"
"Préparation aux concours par professeur","professeur expérimenté donne"
"Professeur agrégée - cours de maths","professeur expérimenté donne"
"Cours et soutien scolaire - Comptabilité","scolaire soutien maths"
"Cours et soutien scolaire - Finance","scolaire soutien maths"
"Cours et soutien scolaire - Gestion","scolaire soutien maths"
"Etudiant espagnol propose cours","espagnol cours particuliers"
"cours particuliers - SVT niveau Lycée","cours maths particuliers"
"cours particuliers-maths niveau collège","cours maths particuliers"
"Etudiante propose cours de Physique","physique cours particuliers"
"Etudiante propose cours Mathématiques","mathématiques cours particuliers"
"Etudiante propose SOUTIEN SCOLAIRE","scolaire soutien maths"
"Cours de remise à niveau en chimie","chimie cours collège"
"Cours de remise à niveau en maths","cours maths particuliers"
"Cours de remise à niveau en physique","physique cours particuliers"
"Cours de français-du primaire au lycée","français cours étrangers"
"histoire-géographie-du primaire au lycée","histoire géographie cours"
"Suivi scolaire, préparation aux examens","cours maths particuliers"
"Cours d'électronique par ingénieur","cours maths particuliers"
"COURS DE PROGRAMMATION","cours maths particuliers"
"INITIATION A L'INFORMATIQUE","informatique formation initiation"
"Cours d'italien pour enfants et adultes","cours maths particuliers"
"Service & Cours d'italien professionnel","cours maths particuliers"
"PROFESSEUR D'ESPAGNOL-LYCÉENS ET ADULTES","espagnol cours particuliers"
"Professeur de FLE-lycéens et adultes","professeur expérimenté donne"
"soutien scolaire et aide aux devoirs","aide devoirs soutien"
"Compta Finance Gestion","cours maths particuliers"
"Marketing et développement commercial","cours maths particuliers"
"Aide aux devoirs-Primaire et Collège","aide devoirs soutien"
"Cours d'espagnole-Primaire et Collège","cours maths particuliers"
"Cours de comptabilité ","cours maths particuliers"
"Eleve d'école de commerce donne cours","cours maths particuliers"
"Aide aux devoirs","aide devoirs soutien"
"Cours particuliers espagnol","espagnol cours particuliers"
"Cours particuliers FLE (Français Langue Étrangère)","français cours étrangers"
"Cours particuliers d'anglais","anglais cours particuliers"
"Cours particuliers mathématiques","mathématiques cours particuliers"
"Cours particuliers physique-chimie","chimie cours collège"
"Cours de chimie -Collège & Lycée","chimie cours collège"
"Cours de maths - collège au lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"COURS D'ANGLAIS","anglais cours particuliers"
"Cours de Français","français cours étrangers"
"Cours de littérature ","cours maths particuliers"
"Cours de Philosophie ","cours maths particuliers"
"Cours d'anglais - Collège & Lycée","lycée collège maths"
"Cours d'anglais - TOEIC/TOEFL","anglais cours particuliers"
"Cours d'anglais général dès 3 ans","anglais cours particuliers"
"Cours de chimie - Collège & Lycée","chimie cours collège"
"Cours de Maths - collège & lycée","lycée collège maths"
"Cours de physique-Collège & Lycée","lycée collège maths"
"Cours de mathématiques","mathématiques cours particuliers"
"Cours de chimie - Collège au Lycée","chimie cours collège"
"Cours de maths -Collège & Lycée","lycée collège maths"
"Cours de physique - Collège au Lycée","lycée collège maths"
"Cours de SVT - Collège au Lycée","lycée collège maths"
"Cours particulier de saxophone","cours maths particuliers"
"Cours de chimie - Collège & Lycée","chimie cours collège"
"Cours de dessin industriel","cours maths particuliers"
"Cours de maths du collège au lycée","lycée collège maths"
"Cours de physique - Collège & Lycée","lycée collège maths"
"Cours de sciences industrielles","cours maths particuliers"
"Cours de français -primaire au lycée","français cours étrangers"
"Cours de maths - primaire au lycée","lycée collège maths"
"Cours/soutiens scolaire-collège & lycée","lycée collège maths"
